jurisdiction,metric,metric_type,capture_datetime,value,flag_type,flag_decimal_spike_dip,flag_spike_dip,flag_ndis_labs_spike,flag_stale_exact_reappearance
Mississippi,Offender Profiles,offender_profiles,2007-05-09 05:36:08,3685,stale_exact_reappearance,False,False,False,True
Mississippi,Offender Profiles,offender_profiles,2008-09-16 15:19:34,19927,stale_exact_reappearance,False,False,False,True
Mississippi,Offender Profiles,offender_profiles,2009-08-25 08:17:29,19927,stale_exact_reappearance,False,False,False,True
Missouri,Forensic Profiles,forensic_profiles,2008-09-16 15:21:16,6680,stale_exact_reappearance,False,False,False,True
Missouri,Forensic Profiles,forensic_profiles,2009-08-25 08:07:44,6680,stale_exact_reappearance,False,False,False,True
Missouri,Offender Profiles,offender_profiles,2008-09-16 15:21:16,162501,stale_exact_reappearance,False,False,False,True
Missouri,Offender Profiles,offender_profiles,2009-08-25 08:07:44,162501,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-08-13 17:57:49,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-09-10 17:55:20,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-09-16 15:15:06,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-10-15 14:26:11,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-11-12 22:17:01,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2008-12-10 21:09:51,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-01-14 20:19:55,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-01-18 04:37:25,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-02-11 23:41:34,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-03-11 17:10:19,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-04-17 15:45:38,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-05-12 12:41:15,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-08-06 08:10:30,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2009-08-25 08:08:36,212,stale_exact_reappearance,False,False,False,True
Montana,Forensic Profiles,forensic_profiles,2010-04-09 22:38:43,212,stale_exact_reappearance,False,False,False,True
Montana,Investigations Aided,investigations_aided,2009-09-03 17:21:06,55,spike_dip,False,True,False,False
Montana,Investigations Aided,investigations_aided,2009-09-09 15:58:21,55,spike_dip,False,True,False,False
Montana,Investigations Aided,investigations_aided,2010-01-05 05:42:22,61,spike_dip,False,True,False,False
Montana,Investigations Aided,investigations_aided,2010-02-13 10:33:54,62,spike_dip,False,True,False,False
Montana,Investigations Aided,investigations_aided,2010-03-17 12:00:23,65,spike_dip,False,True,False,False
Montana,Investigations Aided,investigations_aided,2010-04-09 22:36:56,68,spike_dip,False,True,False,False
Montana,Offender Profiles,offender_profiles,2008-08-13 17:57:49,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2008-09-10 17:55:20,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2008-09-16 15:15:06,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2008-10-15 14:26:11,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2008-11-12 22:17:01,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2008-12-10 21:09:51,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-01-14 20:19:55,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-01-18 04:37:25,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-02-11 23:41:34,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-03-11 17:10:19,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-04-17 15:45:38,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-05-12 12:41:15,5924,stale_exact_reappearance,False,False,False,True
Montana,Offender Profiles,offender_profiles,2009-08-06 08:10:30,5924,spike_dip,False,True,False,False
Montana,Offender Profiles,offender_profiles,2009-08-25 08:08:36,5924,spike_dip,False,True,False,False
Montana,Offender Profiles,offender_profiles,2010-04-09 22:38:43,5924,spike_dip,False,True,False,False
Nebraska,Forensic Profiles,forensic_profiles,2006-10-04 09:04:57,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-09 04:02:06,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-11 09:36:13,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-13 00:12:14,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-17 18:47:50,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-18 07:36:35,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-10-25 07:59:09,312,stale_exact_reappearance,False,False,False,True
Nebraska,Forensic Profiles,forensic_profiles,2006-11-01 10:19:10,312,stale_exact_reappearance,False,False,False,True
